"Level","File","ICAO","STAR","Transition","Runway","Seq","Waypoint","DbAltRaw","DbSpdRaw","DbAlt","DbSpd","Distance","Heading","Details"
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","6","FJ932","5000","0","5000 (at)","","6","330",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","7","FJ933","Details:","0","Details:","","3","60",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","8","FJ934","Details:","0","Details:","","3","60",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","9","FJ935","Details:","0","Details:","","3","60",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","10","DISC","Details:","0","Details:","","0","0",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","11","BEMKA","3500A","0","3500A (at or above)","","9","270",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","12","CI24","3500","0","3500 (at)","","1.3","240",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","13","FI24","1800","0","1800 (at)","","4.5","240",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","14","RW24","354","0","354 (at)","","4","240",""
"23","Route 23.asset","VTBS","CABI1B","LASER","01L","1","CABIN","9000A","240","9000A (at or above)","240 (MAX)","9","380",""
"23","Route 23.asset","VTBS","CABI1B","LASER","01L","2","BS652","7000A","210","7000A (at or above)","210 (MAX)","24","321",""
"23","Route 23.asset","VTBS","CABI1B","LASER","01L","3","BS651","6000A","0","6000A (at or above)","","6","281",""
"23","Route 23.asset","VTBS","CABI1B","LASER","01L","4","BYLON","4000A","0","4000A (at or above)","","10","195",""
"23","Route 23.asset","VTBS","CABI1B","LASER","01L","5","SHEEN","2000A","0","2000A (at or above)","","5","285",""
"23","Route 23.asset","VTBS","CABI1B","LASER","01L","6","LASER","2000A","0","2000A (at or above)","","3.4","354",""
"23","Route 23.asset","VTBS","CABI1B","LASER","01L","7","LEVIN","2000","0","2000 (at)","","1.7","15",""
"23","Route 23.asset","VTBS","CABI1B","LASER","01L","8","FI09L","1290","0","1290 (at)","","2.5","15",""
"23","Route 23.asset","VTBS","CABI1B","LASER","01L","9","RW01L","5","0","5 (at)","","3.9","15",""
"24","Route 24.asset","VTBS","SILV1B","LYNDA","19L","1","SILVA","9000A","0","9000A (at or above)","","9","80",""
"24","Route 24.asset","VTBS","SILV1B","LYNDA","19L","2","BAKKE","7000","240","7000 (at)","240 (MAX)","20","38",""
"24","Route 24.asset","VTBS","SILV1B","LYNDA","19L","3","PETER","4000A","210","4000A (at or above)","210 (MAX)","15.1","15",""
"24","Route 24.asset","VTBS","SILV1B","LYNDA","19L","4","ROBIN","2000A","0","2000A (at or above)","","5","105",""
"24","Route 24.asset","VTBS","SILV1B","LYNDA","19L","5","LYNDA","2000A","0","2000A (at or above)","","3.5","175",""
"24","Route 24.asset","VTBS","SILV1B","LYNDA","19L","6","LEMON","2000","0","2000 (at)","","2.7","195",""
"24","Route 24.asset","VTBS","SILV1B","LYNDA","19L","7","FI19L","1300","0","1300 (at)","","2.2","195",""
"24","Route 24.asset","VTBS","SILV1B","LYNDA","19L","8","RW19L","55","0","55 (at)","","4","195",""
"25","Route 25.asset","WADD","GAGA1B","BENOA","27","1","GAGAK","Details:","0","Details:","","9","382",""
"25","Route 25.asset","WADD","GAGA1B","BENOA","27","2","KEDAT","7000","0","7000 (at)","","80.3","316",""
"25","Route 25.asset","WADD","GAGA1B","BENOA","27","3","BENOA","3000A","0","3000A (at or above)","","27.7","336",""
"25","Route 25.asset","WADD","GAGA1B","BENOA","27","4","97DME","2000","0","2000 (at)","","3.4","266",""
"25","Route 25.asset","WADD","GAGA1B","BENOA","27","5","62DME","2000","0","2000 (at)","","3.5","266",""
"25","Route 25.asset","WADD","GAGA1B","BENOA","27","6","RW27","62","0","62 (at)","","6.1","266",""
"26","Route 26.asset","WIII","CARLI2","NOKTA","07R","1","CARLI","Details:","0","Details:","","9","88",""
"26","Route 26.asset","WIII","CARLI2","NOKTA","07R","2","DKI44","Details:","0","Details:","","37.6","89",""
"26","Route 26.asset","WIII","CARLI2","NOKTA","07R","3","NOKTA","Details:","0","Details:","","13.4","164",""
"26","Route 26.asset","WIII","CARLI2","NOKTA","07R","4","DKI28","6000A","0","6000A (at or above)","","41.2","207",""
"26","Route 26.asset","WIII","CARLI2","NOKTA","07R","5","DKI-42","Details:","0","Details:","","14","255",""
"26","Route 26.asset","WIII","CARLI2","NOKTA","07R","6","INTC","Details:","0","Details:","","6.9","158",""
"26","Route 26.asset","WIII","CARLI2","NOKTA","07R","7","CF07R","3000","0","3000 (at)","","8.4","68",""
"26","Route 26.asset","WIII","CARLI2","NOKTA","07R","8","OM07R","1693","0","1693 (at)","","4.2","64",""
"26","Route 26.asset","WIII","CARLI2","NOKTA","07R","9","RW07R","84","0","84 (at)","","5.2","68",""
"27","Route 27.asset","VVTS","T10","Runway: 25L","25L","1","POPET","Details:","0","Details:","","9","78",""
"27","Route 27.asset","VVTS","T10","Runway: 25L","25L","2","SAPEN","Details:","0","Details:","","14.6","110",""
"27","Route 27.asset","VVTS","T10","Runway: 25L","25L","3","TSN","Details:","0","Details:","","29.8","114",""
"27","Route 27.asset","VVTS","T10","Runway: 25L","25L","4","DISC","Details:","0","Details:","","0","0",""
"27","Route 27.asset","VVTS","T10","Runway: 25L","25L","5","CI25L","1750","0","1750 (at)","","4","0",""
"27","Route 27.asset","VVTS","T10","Runway: 25L","25L","6","SGNB","1750","0","1750 (at)","","4","249",""
"27","Route 27.asset","VVTS","T10","Runway: 25L","25L","7","RW25L","82","0","82 (at)","","5.3","249",""
"28","Route 28.asset","FACT","WY4C","Runway: 01","01","1","WYNB","Details:","0","Details:","","9","172",""
"28","Route 28.asset","FACT","WY4C","Runway: 01","01","2","CTV30","Details:","250","Details:","250 (MAX)","14.2","245",""
"28","Route 28.asset","FACT","WY4C","Runway: 01","01","3","D065H","Details:","210","Details:","210 (MAX)","22","190",""
"28","Route 28.asset","FACT","WY4C","Runway: 01","01","4","VECTOR","Details:","0","Details:","","0","219",""
"28","Route 28.asset","FACT","WY4C","Runway: 01","01","5","CI01","2000","0","2000 (at)","","13.9","320",""
"28","Route 28.asset","FACT","WY4C","Runway: 01","01","6","FI01","1320","0","1320 (at)","","3.1","10",""
"28","Route 28.asset","FACT","WY4C","Runway: 01","01","7","RW01","194","0","194 (at)","","3.6","9",""
"29","Route 29.asset","HKJK","AVIT1P","TV","6","1","AVITU","Details:","0","Details:","","9","146",""
"29","Route 29.asset","HKJK","AVIT1P","TV","6","2","TV","10000A","0","10000A (at or above)","","106.7","219",""
"29","Route 29.asset","HKJK","AVIT1P","TV","6","3","TV-11","Details:","0","Details:","","11","287",""
"29","Route 29.asset","HKJK","AVIT1P","TV","6","4","CI06","3200","0","3200 (at)","","4.9","55",""
"29","Route 29.asset","HKJK","AVIT1P","TV","6","5","NONB","1000","0","1000 (at)","","2.8","54",""
"29","Route 29.asset","HKJK","AVIT1P","TV","6","6","RW06","100","0","100 (at)","","4","54",""
"30","Route 30.asset","GMMX","BGA7A","Runway: 10","10","1","OBOGA","Details:","0","Details:","","9","221",""
"30","Route 30.asset","GMMX","BGA7A","Runway: 10","10","2","D032M","Details:","0","Details:","","8.2","255",""
"30","Route 30.asset","GMMX","BGA7A","Runway: 10","10","3","D013M","Details:","0","Details:","","4.3","296",""
"30","Route 30.asset","GMMX","BGA7A","Runway: 10","10","4","D354M","Details:","230","Details:","230 (MAX)","4.9","276",""
"30","Route 30.asset","GMMX","BGA7A","Runway: 10","10","5","D332M","Details:","0","Details:","","4.4","254",""
"30","Route 30.asset","GMMX","BGA7A","Runway: 10","10","6","D310M","Details:","0","Details:","","5","234",""
"30","Route 30.asset","GMMX","BGA7A","Runway: 10","10","7","D288M","Details:","0","Details:","","5.6","210",""
"30","Route 30.asset","GMMX","BGA7A","Runway: 10","10","8","CI10","3200","0","3200 (at)","","10.5","111",""
"30","Route 30.asset","GMMX","BGA7A","Runway: 10","10","9","MAK","2390","0","2390 (at)","","2.6","99",""
"30","Route 30.asset","GMMX","BGA7A","Runway: 10","10","10","RW10","1556","0","1556 (at)","","2.7","99",""
"31","Route 31.asset","DTTA","NOLSI","MARSA","29","1","NOLSI ","Details:","0","Details:","","9","182",""
"31","Route 31.asset","DTTA","NOLSI","MARSA","29","2","MARSA","3000A","0","3000A (at or above)","","60.1","171",""
"31","Route 31.asset","DTTA","NOLSI","MARSA","29","3","D062M","Details:","0","Details:","","5.6","173",""
"31","Route 31.asset","DTTA","NOLSI","MARSA","29","4","D082M","Details:","0","Details:","","4.5","161",""
"31","Route 31.asset","DTTA","NOLSI","MARSA","29","5","D103M","2200A","0","2200A (at or above)","","5.1","182",""
"31","Route 31.asset","DTTA","NOLSI","MARSA","29","6","CI29","2200","0","2200 (at)","","2.6","247",""
"31","Route 31.asset","DTTA","NOLSI","MARSA","29","7","FI29 ","2200","0","2200 (at)","","3.5","291",""
"31","Route 31.asset","DTTA","NOLSI","MARSA","29","8","RW29","61","0","61 (at)","","6.8","291",""
"32","Route 32.asset","RJTT","NYLON2","NYLON","22","1","ADDUM ","10000","0","10000 (at)","","9","38",""
"32","Route 32.asset","RJTT","NYLON2","NYLON","22","2","BLITZ","Details:","0","Details:","","15","27",""
"32","Route 32.asset","RJTT","NYLON2","NYLON","22","3","BRASS","Details:","0","Details:","","17","351",""
"32","Route 32.asset","RJTT","NYLON2","NYLON","22","4","NYLON","Details:","0","Details:","","17","351",""
"32","Route 32.asset","RJTT","NYLON2","NYLON","22","5","NIFTY","Details:","0","Details:","","10.5","342",""
"32","Route 32.asset","RJTT","NYLON2","NYLON","22","6","NEXUS","5000","0","5000 (at)","","4.9","252",""
"32","Route 32.asset","RJTT","NYLON2","NYLON","22","7","NITRO","5000","0","5000 (at)","","2","252",""
"32","Route 32.asset","RJTT","NYLON2","NYLON","22","8","RW22 ","85","0","85 (at)","","14.9","252",""
"33","Route 33.asset","RJTT","CREAM","Runway: 34L","34L","1","STONE ","11000","250","11000 (at)","250 (MAX)","9","118",""
"33","Route 33.asset","RJTT","CREAM","Runway: 34L","34L","2","TLE","Details:","0","Details:","","15.8","195",""
"33","Route 33.asset","RJTT","CREAM","Runway: 34L","34L","3","CURRY","Details:","0","Details:","","14.6","186",""
"33","Route 33.asset","RJTT","CREAM","Runway: 34L","34L","4","COUPE","8000A","0","8000A (at or above)","","9.6","186",""
"33","Route 33.asset","RJTT","CREAM","Runway: 34L","34L","5","CUTIE","Details:","0","Details:","","9.2","179",""
"33","Route 33.asset","RJTT","CREAM","Runway: 34L","34L","6","CREAM","5000A","0","5000A (at or above)","","11.7","224",""
"33","Route 33.asset","RJTT","CREAM","Runway: 34L","34L","7","ARLON","5000","0","5000 (at)","","6.3","247",""
"33","Route 33.asset","RJTT","CREAM","Runway: 34L","34L","8","APOLO","5000","0","5000 (at)","","15","337",""
"33","Route 33.asset","RJTT","CREAM","Runway: 34L","34L","9","RW34L","68","0","68 (at)","","2.4","337",""
"34","Route 34.asset","VIDP","AKBA2B","CHI","11","1","AKBAN","12000A","0","12000A (at or above)","","9","88",""
"34","Route 34.asset","VIDP","AKBA2B","CHI","11","2","CHI","Details:","0","Details:","","13.5","58",""
"34","Route 34.asset","VIDP","AKBA2B","CHI","11","3","D240T","6500A","0","6500A (at or above)","","6.4","60",""
"34","Route 34.asset","VIDP","AKBA2B","CHI","11","4","D240O","2600A","0","2600A (at or above)","","5","60",""
"34","Route 34.asset","VIDP","AKBA2B","CHI","11","5","D253M","Details:","0","Details:","","3.6","9",""
"34","Route 34.asset","VIDP","AKBA2B","CHI","11","6","D267M","2600A","0","2600A (at or above)","","3.3","350",""
"34","Route 34.asset","VIDP","AKBA2B","CHI","11","7","CI11","2600","0","2600 (at)","","6.3","83",""
"34","Route 34.asset","VIDP","AKBA2B","CHI","11","8","FI11 ","2000","0","2000 (at)","","1.9","103",""
"34","Route 34.asset","VIDP","AKBA2B","CHI","11","9","RW11","773","0","773 (at)","","3.9","103",""
"35","Route 35.asset","VIDP","BASO1A","Runway: 28","28","1","BASOT","Details:","0","Details:","","9","287",""
"35","Route 35.asset","VIDP","BASO1A","Runway: 28","28","2","CHI27","Details:","0","Details:","","33.7","209",""
"35","Route 35.asset","VIDP","BASO1A","Runway: 28","28","3","DI26Z","8000A","0","8000A (at or above)","","18.4","153",""
"35","Route 35.asset","VIDP","BASO1A","Runway: 28","28","4","RUGDA","Details:","0","Details:","","2","146",""
"35","Route 35.asset","VIDP","BASO1A","Runway: 28","28","5","D274V","6500A","0","6500A (at or above)","","9.7","93",""
"35","Route 35.asset","VIDP","BASO1A","Runway: 28","28","6","PEDKA","Details:","0","Details:","","1.6","92",""
"35","Route 35.asset","VIDP","BASO1A","Runway: 28","28","7","DI170","Details:","0","Details:","","2.6","32",""
"35","Route 35.asset","VIDP","BASO1A","Runway: 28","28","8","VENGI","Details:","0","Details:","","2.2","22",""
"35","Route 35.asset","VIDP","BASO1A","Runway: 28","28","9","CI28","2600","0","2600 (at)","","6.5","294",""
"35","Route 35.asset","VIDP","BASO1A","Runway: 28","28","10","OM28","2140","0","2140 (at)","","2.9","294",""
"35","Route 35.asset","VIDP","BASO1A","Runway: 28","28","11","RW288","827","0","827 (at)","","4.2","283",""
"36","Route 36.asset","RPLL","CAB1","MIA","06","1","CAB","Details:","0","Details:","","9","163",""
"36","Route 36.asset","RPLL","CAB1","MIA","06","2","TARTA","Details:","0","Details:","","27.4","170",""
"36","Route 36.asset","RPLL","CAB1","MIA","06","3","GARAY","7000A","0","7000A (at or above)","","7.6","170",""
"36","Route 36.asset","RPLL","CAB1","MIA","06","4","MIA","4000A","0","4000A (at or above)","","25.4","198",""
"36","Route 36.asset","RPLL","CAB1","MIA","06","5","MIA-10","Details:","0","Details:","","14","224",""
"36","Route 36.asset","RPLL","CAB1","MIA","06","6","CI06","2500","0","2500 (at)","","5.9","1",""
"36","Route 36.asset","RPLL","CAB1","MIA","06","7","FI06","2500","0","2500 (at)","","1.2","61",""
"36","Route 36.asset","RPLL","CAB1","MIA","06","8","RW06","66","0","66 (at)","","7.9","61",""
"37","Route 37.asset","RPLL","IPA1","MIA","24","1","IPATA","Details:","0","Details:","","9","364",""
"37","Route 37.asset","RPLL","IPA1","MIA","24","2","KABAN","10000A","0","10000A (at or above)","","27","311",""
"37","Route 37.asset","RPLL","IPA1","MIA","24","3","CAMBA","6000A","0","6000A (at or above)","","15.8","311",""
"37","Route 37.asset","RPLL","IPA1","MIA","24","4","MIA","4000A","0","4000A (at or above)","","17.2","311",""
"37","Route 37.asset","RPLL","IPA1","MIA","24","5","MIA-9","Details:","0","Details:","","13","80",""
"37","Route 37.asset","RPLL","IPA1","MIA","24","6","CF24","2500","0","2500 (at)","","7.3","247",""
"37","Route 37.asset","RPLL","IPA1","MIA","24","7","FF24","1424","0","1424 (at)","","3.3","242",""
"37","Route 37.asset","RPLL","IPA1","MIA","24","8","RW24","125","0","125 (at)","","4.1","242",""
"38","Route 38.asset","UUWW","DR19A","KS","19","1","DRNB","Details:","0","Details:","","9","366",""
"38","Route 38.asset","UUWW","DR19A","KS","19","2","GOTMA","Details:","0","Details:","","27.9","326",""
"38","Route 38.asset","UUWW","DR19A","KS","19","3","054KS","4900A","0","4900A (at or above)","","7","336",""
"38","Route 38.asset","UUWW","DR19A","KS","19","4","KSNB","3590","0","3590 (at)","","12.2","62",""
"38","Route 38.asset","UUWW","DR19A","KS","19","5","180SX","Details:","0","Details:","","3.3","125",""
"38","Route 38.asset","UUWW","DR19A","KS","19","6","D1690","1950","0","1950 (at)","","5.3","171",""
"38","Route 38.asset","UUWW","DR19A","KS","19","7","89ITA","1950","0","1950 (at)","","2.1","190",""
"38","Route 38.asset","UUWW","DR19A","KS","19","8","RW19","1946","0","1946 (at)","","4","193",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","1","GISIN","Details:","0","Details:","","9","163",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","2","OKLIT","Details:","0","Details:","","7.7","169",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","3","TURUG","Details:","0","Details:","","7.6","169",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","4","WW521","5900A","230","5900A (at or above)","230 (MAX)","19.3","187",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","5","WW522","Details:","0","Details:","","5.4","172",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","6","WW523","Details:","0","Details:","","5.4","172",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","7","WW524","Details:","0","Details:","","5.4","172",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","8","WW525","Details:","0","Details:","","6.5","82",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","9","WW505","Details:","0","Details:","","5.4","352",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","10","WW504","Details:","0","Details:","","5.4","352",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","11","DRNB","5900","0","5900 (at)","","5.4","352",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","12","WW502","Details:","0","Details:","","5.4","352",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","13","WW501","Details:","0","Details:","","5.4","352",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","14","OSTIS","3640","0","3640 (at)","","6.8","8",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","15","290OB","2650","0","2650 (at)","","4.1","15",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","16","258OB","2320","0","2320 (at)","","2.9","339",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","17","CF24","2000","0","2000 (at)","","1.9","299",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","18","FF24","1991","0","1991 (at)","","0.8","239",""
"39","Route 39.asset","UUWW","GIS24R","OSTIS","24","19","RW24","729","0","729 (at)","","4","238",""
